epoch,train_loss,train_acc,val_loss,val_acc
1,1.0859352383208594,0.4018874064432151,1.0836086679012218,0.4012158054711246
2,1.075925612465163,0.41750732183534006,1.044261884725565,0.45288753799392095
3,1.0482810036662034,0.45265213146762123,1.0203535263299217,0.49544072948328266
4,1.0154611630273727,0.49397982427595183,0.9758124817106136,0.547112462006079
5,0.9655373490597656,0.5470224536283762,0.9261857079155177,0.541033434650456
6,0.9248529287025434,0.5665473478685323,0.8992117053650795,0.5851063829787234
7,0.9073767702392519,0.5746827204685975,0.8733535187947351,0.5835866261398176
8,0.8915750545125577,0.5831435079726651,0.8730366096851674,0.60790273556231
9,0.8629829444444571,0.6042954767328343,0.8687040557614938,0.5775075987841946
10,0.864520750408874,0.5942076147087536,0.8527893244676676,0.6094224924012158
11,0.849637871800282,0.6016921575008135,0.8772548582053836,0.5927051671732523
12,0.8382996404904168,0.6117800195248942,0.8453371150696531,0.6109422492401215
13,0.8413523185793329,0.6182883176049463,0.8444327445740395,0.6033434650455927
14,0.8185788356507209,0.6270745200130166,0.8423993275882987,0.621580547112462
15,0.8153695160195139,0.63000325414904,0.8472900919638868,0.6033434650455927
16,0.8117497326534034,0.628376179629027,0.8347104408277204,0.60790273556231
17,0.7927326134272984,0.6449723397331598,0.8200038219476543,0.6170212765957447
18,0.7916726350706716,0.648877318581191,0.8239924958411683,0.6291793313069909
19,0.788149800492233,0.6413927757891311,0.8321570065608503,0.621580547112462
20,0.7805225255044788,0.6521314676212171,0.8291026546781186,0.6185410334346505
21,0.7742801888579466,0.6566872762772535,0.8462209369092727,0.6048632218844985
22,0.760991621693415,0.664497233973316,0.817984132600048,0.6094224924012158
23,0.7400627010444338,0.6752359258054019,0.8521793653175099,0.6139817629179332
