epoch,train_loss,train_acc,val_loss,val_acc
1,1.0393843070870303,0.5375854214123007,0.8725262878513627,0.648936170212766
2,0.8997749559195779,0.6225187113569801,0.8871292506307816,0.6550151975683891
3,0.8413950728159791,0.6622193296452977,0.8628454962037617,0.6747720364741642
4,0.8303433078296635,0.6697038724373576,0.8521216584194032,0.6565349544072948
5,0.7961278979257694,0.6983403839895868,0.8296721584891114,0.6975683890577508
6,0.7529618489094445,0.7263260657338106,0.8396971167764403,0.6732522796352584
7,0.7560387647698921,0.724373576309795,0.9040656252834934,0.6808510638297872
8,0.7740078918366723,0.7201431825577611,0.8238261374659089,0.6793313069908815
9,0.7553694644464641,0.7230719166937846,0.9391126369995186,0.6504559270516718
10,0.7182830117480435,0.7484542792059876,0.7883118028698721,0.7021276595744681
11,0.7041855924221813,0.7562642369020501,0.8561638859992332,0.6747720364741642
12,0.6948231395820124,0.7689554181581516,0.8670487697363625,0.7006079027355623
13,0.7072646980211162,0.7585421412300684,0.933522535493671,0.6595744680851063
14,0.6171789516504215,0.8145135047185161,0.7442000053573886,0.7492401215805471
15,0.5862908285757326,0.8320859095346567,0.764696945897714,0.7477203647416414
16,0.5585338661269571,0.8574682720468597,0.766455234002922,0.7522796352583586
17,0.5405906451629033,0.8662544744549301,0.7519740721375022,0.7446808510638298
18,0.4958661935479176,0.8952164009111617,0.7122353444889323,0.776595744680851
19,0.4742644367720768,0.908883826879271,0.7332843063812488,0.7811550151975684
20,0.4613526751930691,0.9183208590953466,0.7231010252943879,0.776595744680851
21,0.45509137647221,0.9205987634233648,0.6938064299455892,0.790273556231003
22,0.45135550707665945,0.9199479336153595,0.7255247954539615,0.7674772036474165
23,0.4431054337265978,0.9241783273673935,0.7126585951692065,0.7811550151975684
24,0.4277193229748533,0.9371949235274976,0.7433524575639279,0.7887537993920972
25,0.4120163941980766,0.9469573706475757,0.7227923589274514,0.790273556231003
26,0.4080198379048609,0.9511877643996095,0.7167018918280906,0.7857142857142857
